date,max_temp,min_temp,avg_temp
2026-07-14,22.3,18.6,20.450000000000003
2026-07-15,25.6,16.8,21.200000000000003
2026-07-16,29.3,16.2,22.75
2026-07-17,29.1,18.8,23.950000000000003
2026-07-18,26.1,18.6,22.35
2026-07-19,20.4,13.5,16.95
2026-07-20,19.1,12.9,16.0
2026-07-21,21.3,12.2,16.75
